actor,actor_location.country_code
0x009922,DE
0x009922,RU
0xArdi,MK
Aashish07,IN
AbhinavMir,IN
Alexey-N-Chernyshov,RU
Amit-Padmani,IN
Anandjeechoubey,IN
Arjentix,
Arjentix,DE
Arjentix,RU
BCdeveloper98,PK
Baha-sk,CA
C0rWin,IL
C0rWin,IT
C0rWin,US
CLEckhardt,US
CaptainIRS,IN
ChechetkinVV,RU
Cre-eD,RU
Cryptizer69,NL
DRK3,CA
Echsecutor,DE
Erigara,
Erigara,GB
Erigara,RU
FabrizioPe,IT
FrancescoUrbano,IT
GavinBendixsen,US
Iskander508,CH
JamesKEbert,US
Juneezee,MY
KISMIDEV,KR
KolbyRKunz,US
Leeyoungone,US
LiraLemur,DE
Mingela,RU
Moopli,CA
MosCD3,
MosCD3,CA
NB-MikeRichardson,RO
NB-MikeRichardson,US
NicolasMassart,FR
NicolasMassart,US
OlgaIlyina,RU
Param-S,IN
PatStLouis,CA
Patrik-Stas,
Patrik-Stas,AT
Patrik-Stas,CZ
Przytua,PL
QuentinI,
QuentinI,NL
QuentinI,TR
SamHSmith,
SamHSmith,SE
SamYuan1990,CN
SeanBohan,
SeanBohan,US
ShubhamSolanki24,IN
Swastyy,IN
TelegramSam,US
Tezas-6174,IN
TimoGlastra,
TimoGlastra,BE
TimoGlastra,NL
WRRicht3r,CH
WRRicht3r,NL
WadeBarnes,CA
WaleedMortaja,PS
YoungeonLee,KR
abdulla-ashurov,UZ
adecaro,
adecaro,CH
adecaro,US
agunde406,US
ahamlat,FR
ahmedelkashev,TR
aholovko,UA
akankshadixit,GB
aklenik,HU
aldousalvarez,PH
ale-linux,CH
ale-linux,US
alec-p-hong,US
ales-tsurko,
ales-tsurko,BY
ales-tsurko,RU
alexandratran,US
amanji,CA
amanji,US
ameliabradley,US
anagoessens,NL
andrew-coleman,FR
andrew-coleman,GB
andrew-coleman,US
andrewwhitehead,CA
andrewwhitehead,US
anjjunsu,CA
antonydenyer,GB
appetrosyan,
appetrosyan,AM
arndey,DE
arndey,RU
arsulegai,IN
ashcherbakov,UZ
atoulme,US
awrichar,
awrichar,US
aws-hosted-runner-x9yesdu8rf068t[bot],IE
baziorek,PL
beaconalerts,GB
berserkr,US
bestbeforetoday,
bestbeforetoday,FR
bestbeforetoday,GB
bgravenorst,AU
bhaskarvilles,IN
blu3beri,
blu3beri,NL
bobbyngwu,GB
bstasyszyn,CA
burdettadam,US
bvavala,US
bviswana101,IN
bwtimmermans,GB
c2bo,DE
callree,KR
cianx,US
cjhowland,US
codecov-commenter,US
codecov[bot],US
cre8,DE
cvarjao,CA
daniellehrner,ES
daniellehrner,US
davidkel,GB
davidkhala,HK
dbluhm,
dbluhm,US
dcmiddle,US
denyeart,
denyeart,US
dependabot[bot],
diega,AR
dinkar-jain,IN
dnakashima,JP
dnewh,
domwoe,CH
dplumb94,US
drewcapener,US
eberger727,US
erenakyildiz-code,TR
esplinr,US
esrefatak,TR
etschelp,CH
fab-10,IT
fabiopalumbo,AR
feknall,CA
fengyangsy,CN
fengyangsy,HK
fqutishat,JO
fqutishat,SA
fraVlaca,FR
fraVlaca,GB
frostyfrog,US
fubss,RU
garyschulte,US
gasper-vrhovsek,SI
gezero,GB
gfukushima,AU
gitguardian[bot],US
github-account-0x00,SG
github-actions[bot],
github-actions[bot],US
github-code-scanning[bot],
github-pages[bot],
github-staff,
github-staff,BD
github-staff,FR
github-staff,GB
github-staff,IN
github-staff,TR
github-staff,US
gooooer,US
gv-timur,RU
hfuss,US
hlfdev-azp,US
hyperledger,
hyperledger,CA
hyperledger,US
hyperledger-bot,
ianco,CA
iceseer,
iceseer,RU
ilchu,
ilchu,KR
isabeltomb,US
itsdheerajbudhiraja,IN
izuru0,JP
jagpreetsinghsasan,IN
janrtvld,NL
janvinsha,NG
jcastrence,US
jcourt562,AU
jflo,AU
jflo,US
jframe,AU
jimthematrix,US
jkneubuh,
jkneubuh,US
jleach,
jleach,CA
jleach,US
jmcshane,US
johnhomantaring,PH
joshuafernandes,AU
jpnovais,GB
jrusselg,SG
jsmitchell,US
jt-nti,
jt-nti,GB
jt-nti,US
karimStekelenburg,NL
knarayan,IN
lacinoire,NL
leebradley,US
lfx-security-github-app[bot],US
lindluni,
lindluni,US
lineko,NL
loshkarev1994,RU
lucassaldanha,BR
macfarla,AU
macfarla,US
maglighter,RU
manikanta-darsi,IN
manish-sethi,US
mark-terry,AU
matkt,FR
matkt,US
matt-nelson-csi,US
mbaxter,US
mbrandenburger,CH
mbwhite,
mbwhite,FR
mbwhite,GB
mcdee,GB
mergify[bot],US
mfolnovic,HR
mgCepeda,ES
mgmgwi,DE
mirgee,CZ
morrieinmaas,DE
morrieinmaas,NL
msgul,TR
mversic,
mversic,HR
nguyer,
nguyer,US
niallshaw-absa,CZ
niamint,SG
nodlesh,US
ntsbs,DE
ntsbs,HR
omkar-mohanty,
